identifier,datestamp,datafield,doi
oai:repo.scoap3.org:22359,2019-08-01T09:38:30Z,DOI10.1140/epjc/s10052-017-5371-y,10.1140/epjc/s10052-017-5371-y
oai:repo.scoap3.org:21992,2019-08-01T09:40:41Z,DOI10.1140/epjc/s10052-017-5229-3,10.1140/epjc/s10052-017-5229-3
oai:repo.scoap3.org:19645,2019-08-01T09:38:33Z,DOI10.1140/epjc/s10052-017-4764-2,10.1140/epjc/s10052-017-4764-2
oai:repo.scoap3.org:16556,2019-08-01T09:56:58Z,DOI10.1140/epjc/s10052-016-4259-6,10.1140/epjc/s10052-016-4259-6
oai:repo.scoap3.org:16555,2019-08-01T09:37:49Z,DOI10.1140/epjc/s10052-016-4211-9,10.1140/epjc/s10052-016-4211-9
oai:repo.scoap3.org:16136,2019-08-01T09:55:19Z,DOI10.1140/epjc/s10052-016-4201-y,10.1140/epjc/s10052-016-4201-y
oai:repo.scoap3.org:12294,2019-08-01T09:55:02Z,DOI10.1140/epjc/s10052-015-3713-1,10.1140/epjc/s10052-015-3713-1
oai:repo.scoap3.org:14602,2019-08-01T09:46:12Z,DOI10.1140/epjc/s10052-016-3946-7,10.1140/epjc/s10052-016-3946-7
oai:repo.scoap3.org:9636,2019-08-01T09:47:34Z,DOI10.1140/epjc/s10052-015-3352-6,10.1140/epjc/s10052-015-3352-6
oai:repo.scoap3.org:19480,2019-08-01T09:40:32Z,DOI10.1140/epjc/s10052-017-4714-z,10.1140/epjc/s10052-017-4714-z
oai:repo.scoap3.org:20438,2019-08-01T09:47:09Z,DOI10.1140/epjc/s10052-017-4945-z,10.1140/epjc/s10052-017-4945-z
oai:repo.scoap3.org:4703,2019-08-01T09:43:47Z,DOI10.1140/epjc/s10052-014-3131-9,10.1140/epjc/s10052-014-3131-9
oai:repo.scoap3.org:4704,2019-08-01T09:40:06Z,DOI10.1140/epjc/s10052-014-3139-1,10.1140/epjc/s10052-014-3139-1
oai:repo.scoap3.org:4708,2019-08-01T09:37:33Z,DOI10.1140/epjc/s10052-014-3156-0,10.1140/epjc/s10052-014-3156-0
oai:repo.scoap3.org:21044,2019-08-01T09:48:41Z,DOI10.1140/epjc/s10052-017-5096-y,10.1140/epjc/s10052-017-5096-y
oai:repo.scoap3.org:1422,2019-08-01T09:57:22Z,DOI10.1140/epjc/s10052-014-2782-x,10.1140/epjc/s10052-014-2782-x
oai:repo.scoap3.org:21190,2019-08-01T09:42:39Z,DOI10.1140/epjc/s10052-017-5135-8,10.1140/epjc/s10052-017-5135-8
oai:repo.scoap3.org:21193,2019-08-01T09:53:23Z,DOI10.1140/epjc/s10052-017-5133-x,10.1140/epjc/s10052-017-5133-x
oai:repo.scoap3.org:14801,2019-08-01T09:48:31Z,DOI10.1140/epjc/s10052-016-3994-z,10.1140/epjc/s10052-016-3994-z
oai:repo.scoap3.org:18994,2019-08-01T09:53:20Z,DOI10.1140/epjc/s10052-017-4647-6,10.1140/epjc/s10052-017-4647-6
oai:repo.scoap3.org:17772,2019-08-01T09:49:28Z,DOI10.1140/epjc/s10052-016-4457-2,10.1140/epjc/s10052-016-4457-2
oai:repo.scoap3.org:17779,2019-08-01T09:48:27Z,DOI10.1140/epjc/s10052-016-4449-2,10.1140/epjc/s10052-016-4449-2
oai:repo.scoap3.org:20242,2019-08-01T09:47:02Z,DOI10.1140/epjc/s10052-017-4904-8,10.1140/epjc/s10052-017-4904-8
oai:repo.scoap3.org:3601,2019-08-01T09:46:56Z,DOI10.1140/epjc/s10052-014-2983-3,10.1140/epjc/s10052-014-2983-3
oai:repo.scoap3.org:1935,2019-08-01T09:45:36Z,DOI10.1140/epjc/s10052-014-2822-6,10.1140/epjc/s10052-014-2822-6
oai:repo.scoap3.org:1282,2019-08-01T09:48:27Z,DOI10.1140/epjc/s10052-014-2720-y,10.1140/epjc/s10052-014-2720-y
oai:repo.scoap3.org:1281,2019-08-01T09:50:49Z,DOI10.1140/epjc/s10052-014-2755-0,10.1140/epjc/s10052-014-2755-0
oai:repo.scoap3.org:19807,2019-08-01T09:46:20Z,DOI10.1140/epjc/s10052-017-4816-7,10.1140/epjc/s10052-017-4816-7
oai:repo.scoap3.org:11387,2019-08-01T09:54:39Z,DOI10.1140/epjc/s10052-015-3568-5,10.1140/epjc/s10052-015-3568-5
oai:repo.scoap3.org:11388,2019-08-01T09:38:33Z,DOI10.1140/epjc/s10052-015-3576-5,10.1140/epjc/s10052-015-3576-5
oai:repo.scoap3.org:2647,2019-08-01T09:49:30Z,DOI10.1140/epjc/s10052-014-2894-3,10.1140/epjc/s10052-014-2894-3
oai:repo.scoap3.org:22820,2019-08-01T09:49:30Z,DOI10.1140/epjc/s10052-017-5459-4,10.1140/epjc/s10052-017-5459-4
oai:repo.scoap3.org:23063,2019-08-01T09:55:19Z,DOI10.1140/epjc/s10052-018-5520-y,10.1140/epjc/s10052-018-5520-y
oai:repo.scoap3.org:19097,2019-08-01T09:37:42Z,DOI10.1140/epjc/s10052-017-4696-x,10.1140/epjc/s10052-017-4696-x
oai:repo.scoap3.org:23212,2019-08-01T09:54:23Z,DOI10.1140/epjc/s10052-017-5503-4,10.1140/epjc/s10052-017-5503-4
oai:repo.scoap3.org:20161,2019-08-01T09:53:59Z,DOI10.1140/epjc/s10052-017-4892-8,10.1140/epjc/s10052-017-4892-8
oai:repo.scoap3.org:3326,2019-08-01T09:38:18Z,DOI10.1140/epjc/s10052-014-2954-8,10.1140/epjc/s10052-014-2954-8
oai:repo.scoap3.org:14428,2019-08-01T09:44:24Z,DOI10.1140/epjc/s10052-016-3939-6,10.1140/epjc/s10052-016-3939-6
oai:repo.scoap3.org:14513,2019-08-01T09:54:26Z,DOI10.1140/epjc/s10052-016-3948-5,10.1140/epjc/s10052-016-3948-5
oai:repo.scoap3.org:15593,2019-08-01T09:46:52Z,DOI10.1140/epjc/s10052-016-4109-6,10.1140/epjc/s10052-016-4109-6
oai:repo.scoap3.org:15594,2019-08-01T09:51:32Z,DOI10.1140/epjc/s10052-016-4111-z,10.1140/epjc/s10052-016-4111-z
oai:repo.scoap3.org:15355,2019-08-01T09:44:19Z,DOI10.1140/epjc/s10052-016-4060-6,10.1140/epjc/s10052-016-4060-6
oai:repo.scoap3.org:20200,2019-08-01T09:57:22Z,DOI10.1140/epjc/s10052-017-4893-7,10.1140/epjc/s10052-017-4893-7
oai:repo.scoap3.org:20844,2019-08-01T09:49:41Z,DOI10.1140/epjc/s10052-017-5047-7,10.1140/epjc/s10052-017-5047-7
oai:repo.scoap3.org:20447,2019-08-01T09:37:31Z,DOI10.1140/epjc/s10052-017-4941-3,10.1140/epjc/s10052-017-4941-3
oai:repo.scoap3.org:1806,2019-08-01T09:48:20Z,DOI10.1140/epjc/s10052-014-2832-4,10.1140/epjc/s10052-014-2832-4
oai:repo.scoap3.org:14358,2019-08-01T09:42:45Z,DOI10.1140/epjc/s10052-016-3937-8,10.1140/epjc/s10052-016-3937-8
oai:repo.scoap3.org:11325,2019-08-01T09:46:30Z,DOI10.1140/epjc/s10052-015-3582-7,10.1140/epjc/s10052-015-3582-7
oai:repo.scoap3.org:11323,2019-08-01T09:35:33Z,DOI10.1140/epjc/s10052-015-3525-3,10.1140/epjc/s10052-015-3525-3
oai:repo.scoap3.org:19847,2019-08-01T09:38:55Z,DOI10.1140/epjc/s10052-017-4815-8,10.1140/epjc/s10052-017-4815-8
oai:repo.scoap3.org:23308,2019-08-01T09:41:48Z,DOI10.1140/epjc/s10052-018-5562-1,10.1140/epjc/s10052-018-5562-1
oai:repo.scoap3.org:11109,2019-08-01T09:53:53Z,DOI10.1140/epjc/s10052-015-3560-0,10.1140/epjc/s10052-015-3560-0
oai:repo.scoap3.org:11102,2019-08-01T09:36:43Z,DOI10.1140/epjc/s10052-015-3546-y,10.1140/epjc/s10052-015-3546-y
oai:repo.scoap3.org:22010,2019-08-01T09:35:48Z,DOI10.1140/epjc/s10052-017-5258-y,10.1140/epjc/s10052-017-5258-y
oai:repo.scoap3.org:9229,2019-08-01T09:50:44Z,DOI10.1140/epjc/s10052-015-3302-3,10.1140/epjc/s10052-015-3302-3
oai:repo.scoap3.org:12151,2019-08-01T09:38:12Z,DOI10.1140/epjc/s10052-015-3682-4,10.1140/epjc/s10052-015-3682-4
oai:repo.scoap3.org:9027,2019-08-01T09:38:12Z,DOI10.1140/epjc/s10052-015-3276-1,10.1140/epjc/s10052-015-3276-1
oai:repo.scoap3.org:1166,2019-08-01T09:56:44Z,DOI10.1140/epjc/s10052-014-2737-2,10.1140/epjc/s10052-014-2737-2
oai:repo.scoap3.org:22306,2019-08-01T09:50:41Z,DOI10.1140/epjc/s10052-017-5351-2,10.1140/epjc/s10052-017-5351-2
oai:repo.scoap3.org:19452,2019-08-01T09:41:22Z,DOI10.1140/epjc/s10052-017-4750-8,10.1140/epjc/s10052-017-4750-8
oai:repo.scoap3.org:12796,2019-08-01T09:57:11Z,DOI10.1140/epjc/s10052-015-3790-1,10.1140/epjc/s10052-015-3790-1
oai:repo.scoap3.org:12797,2019-08-01T09:47:45Z,DOI10.1140/epjc/s10052-015-3759-0,10.1140/epjc/s10052-015-3759-0
oai:repo.scoap3.org:9008,2019-08-01T09:58:47Z,DOI10.1140/epjc/s10052-015-3270-7,10.1140/epjc/s10052-015-3270-7
oai:repo.scoap3.org:8973,2019-08-01T09:55:36Z,DOI10.1140/epjc/s10052-014-3241-4,10.1140/epjc/s10052-014-3241-4
oai:repo.scoap3.org:21158,2019-08-01T09:56:44Z,DOI10.1140/epjc/s10052-017-5090-4,10.1140/epjc/s10052-017-5090-4
oai:repo.scoap3.org:24593,2019-08-01T09:35:54Z,DOI10.1140/epjc/s10052-018-5710-7,10.1140/epjc/s10052-018-5710-7
oai:repo.scoap3.org:18097,2019-08-01T09:36:58Z,DOI10.1140/epjc/s10052-016-4503-0,10.1140/epjc/s10052-016-4503-0
oai:repo.scoap3.org:24596,2019-08-01T09:53:41Z,DOI10.1140/epjc/s10052-018-5721-4,10.1140/epjc/s10052-018-5721-4
oai:repo.scoap3.org:13353,2019-08-01T09:35:25Z,DOI10.1140/epjc/s10052-015-3852-4,10.1140/epjc/s10052-015-3852-4
oai:repo.scoap3.org:15580,2019-08-01T09:44:51Z,DOI10.1140/epjc/s10052-016-4083-z,10.1140/epjc/s10052-016-4083-z
oai:repo.scoap3.org:10191,2019-08-01T09:58:26Z,DOI10.1140/epjc/s10052-015-3402-0,10.1140/epjc/s10052-015-3402-0
oai:repo.scoap3.org:10198,2019-08-01T09:54:31Z,DOI10.1140/epjc/s10052-015-3383-z,10.1140/epjc/s10052-015-3383-z
oai:repo.scoap3.org:23318,2019-08-01T09:54:23Z,DOI10.1140/epjc/s10052-018-5563-0,10.1140/epjc/s10052-018-5563-0
oai:repo.scoap3.org:23849,2019-08-01T09:37:49Z,DOI10.1140/epjc/s10052-018-5632-4,10.1140/epjc/s10052-018-5632-4
oai:repo.scoap3.org:18344,2019-08-01T09:58:40Z,DOI10.1140/epjc/s10052-016-4545-3,10.1140/epjc/s10052-016-4545-3
oai:repo.scoap3.org:18428,2019-08-01T09:36:43Z,DOI10.1140/epjc/s10052-016-4547-1,10.1140/epjc/s10052-016-4547-1
oai:repo.scoap3.org:24746,2019-08-01T09:57:41Z,DOI10.1140/epjc/s10052-018-5596-4,10.1140/epjc/s10052-018-5596-4
oai:repo.scoap3.org:13169,2019-08-01T09:56:00Z,DOI10.1140/epjc/s10052-015-3827-5,10.1140/epjc/s10052-015-3827-5
oai:repo.scoap3.org:24586,2019-08-01T09:52:07Z,DOI10.1140/epjc/s10052-018-5698-z,10.1140/epjc/s10052-018-5698-z
oai:repo.scoap3.org:24108,2019-08-01T09:40:01Z,DOI10.1140/epjc/s10052-018-5659-6,10.1140/epjc/s10052-018-5659-6
oai:repo.scoap3.org:23932,2019-08-01T09:43:41Z,DOI10.1140/epjc/s10052-018-5627-1,10.1140/epjc/s10052-018-5627-1
oai:repo.scoap3.org:13235,2019-08-01T09:43:06Z,DOI10.1140/epjc/s10052-015-3848-0,10.1140/epjc/s10052-015-3848-0
oai:repo.scoap3.org:18431,2019-08-01T09:54:18Z,DOI10.1140/epjc/s10052-016-4570-2,10.1140/epjc/s10052-016-4570-2
oai:repo.scoap3.org:23560,2019-08-01T09:57:11Z,DOI10.1140/epjc/s10052-018-5584-8,10.1140/epjc/s10052-018-5584-8
oai:repo.scoap3.org:23582,2019-08-01T09:54:28Z,DOI10.1140/epjc/s10052-018-5587-5,10.1140/epjc/s10052-018-5587-5
oai:repo.scoap3.org:17156,2019-08-01T09:37:46Z,DOI10.5506/APhysPolB.47.2125,10.5506/aphyspolb.47.2125
oai:repo.scoap3.org:9149,2019-08-01T09:54:39Z,DOI10.5506/APhysPolB.46.153,10.5506/aphyspolb.46.153
oai:repo.scoap3.org:14631,2019-08-01T09:49:47Z,DOI10.5506/APhysPolB.47.357,10.5506/aphyspolb.47.357
oai:repo.scoap3.org:12260,2019-08-01T09:35:48Z,DOI10.5506/APhysPolB.46.1955,10.5506/aphyspolb.46.1955
oai:repo.scoap3.org:12784,2019-08-01T09:43:41Z,DOI10.5506/APhysPolB.46.2485,10.5506/aphyspolb.46.2485
oai:repo.scoap3.org:12261,2019-08-01T09:51:41Z,DOI10.5506/APhysPolB.46.2019,10.5506/aphyspolb.46.2019
oai:repo.scoap3.org:22656,2019-08-01T09:38:12Z,DOI10.5506/APhysPolB.48.2013,10.5506/aphyspolb.48.2013
oai:repo.scoap3.org:17525,2019-08-01T09:54:29Z,DOI10.5506/APhysPolB.47.2245,10.5506/aphyspolb.47.2245
oai:repo.scoap3.org:5248,2019-08-01T09:47:13Z,DOI10.5506/APhysPolB.45.2079,10.5506/aphyspolb.45.2079
oai:repo.scoap3.org:2509,2019-08-01T09:46:17Z,DOI10.1140/epjc/s10052-014-2855-x,10.1140/epjc/s10052-014-2855-x
oai:repo.scoap3.org:11377,2019-08-01T09:41:57Z,DOI10.1140/epjc/s10052-015-3591-6,10.1140/epjc/s10052-015-3591-6
oai:repo.scoap3.org:11376,2019-08-01T09:42:01Z,DOI10.1140/epjc/s10052-015-3590-7,10.1140/epjc/s10052-015-3590-7
oai:repo.scoap3.org:1210,2019-08-01T09:47:03Z,DOI10.1140/epjc/s10052-014-2722-9,10.1140/epjc/s10052-014-2722-9
oai:repo.scoap3.org:23245,2019-08-01T09:54:34Z,DOI10.1140/epjc/s10052-018-5549-y,10.1140/epjc/s10052-018-5549-y
oai:repo.scoap3.org:22447,2019-08-01T09:36:58Z,DOI10.1140/epjc/s10052-017-5367-7,10.1140/epjc/s10052-017-5367-7
oai:repo.scoap3.org:22445,2019-08-01T09:56:23Z,DOI10.1140/epjc/s10052-017-5363-y,10.1140/epjc/s10052-017-5363-y
oai:repo.scoap3.org:20845,2019-08-01T09:39:24Z,DOI10.1140/epjc/s10052-017-5051-y,10.1140/epjc/s10052-017-5051-y
oai:repo.scoap3.org:21561,2019-08-01T09:41:27Z,DOI10.1140/epjc/s10052-017-5210-1,10.1140/epjc/s10052-017-5210-1
oai:repo.scoap3.org:11150,2019-08-01T09:56:10Z,DOI10.1140/epjc/s10052-015-3562-y,10.1140/epjc/s10052-015-3562-y
oai:repo.scoap3.org:1327,2019-08-01T09:40:57Z,DOI10.1140/epjc/s10052-014-2759-9,10.1140/epjc/s10052-014-2759-9
oai:repo.scoap3.org:1665,2019-08-01T09:45:10Z,DOI10.1140/epjc/s10052-014-2816-4,10.1140/epjc/s10052-014-2816-4
oai:repo.scoap3.org:1661,2019-08-01T09:40:50Z,DOI10.1140/epjc/s10052-014-2811-9,10.1140/epjc/s10052-014-2811-9
oai:repo.scoap3.org:22151,2019-08-01T09:36:31Z,DOI10.1140/epjc/s10052-017-5333-4,10.1140/epjc/s10052-017-5333-4
oai:repo.scoap3.org:19199,2019-08-01T09:57:04Z,DOI10.1140/epjc/s10052-017-4706-z,10.1140/epjc/s10052-017-4706-z
oai:repo.scoap3.org:16354,2019-08-01T09:58:58Z,DOI10.1140/epjc/s10052-016-4238-y,10.1140/epjc/s10052-016-4238-y
oai:repo.scoap3.org:16355,2019-08-01T09:53:53Z,DOI10.1140/epjc/s10052-016-4239-x,10.1140/epjc/s10052-016-4239-x
oai:repo.scoap3.org:22912,2019-08-01T09:44:33Z,DOI10.1140/epjc/s10052-017-5488-z,10.1140/epjc/s10052-017-5488-z
oai:repo.scoap3.org:12212,2019-08-01T09:38:01Z,DOI10.1140/epjc/s10052-015-3705-1,10.1140/epjc/s10052-015-3705-1
oai:repo.scoap3.org:19375,2019-08-01T09:37:18Z,DOI10.1140/epjc/s10052-017-4724-x,10.1140/epjc/s10052-017-4724-x
oai:repo.scoap3.org:9471,2019-08-01T09:54:48Z,DOI10.1140/epjc/s10052-015-3326-8,10.1140/epjc/s10052-015-3326-8
oai:repo.scoap3.org:9472,2019-08-01T09:54:48Z,DOI10.1140/epjc/s10052-015-3332-x,10.1140/epjc/s10052-015-3332-x
oai:repo.scoap3.org:22626,2019-08-01T09:38:12Z,DOI10.1140/epjc/s10052-017-5389-1,10.1140/epjc/s10052-017-5389-1
oai:repo.scoap3.org:20998,2019-08-01T09:47:13Z,DOI10.1140/epjc/s10052-017-5101-5,10.1140/epjc/s10052-017-5101-5
oai:repo.scoap3.org:22828,2019-08-01T09:42:25Z,DOI10.1140/epjc/s10052-017-5461-x,10.1140/epjc/s10052-017-5461-x
oai:repo.scoap3.org:12328,2019-08-01T09:51:09Z,DOI10.1140/epjc/s10052-015-3724-y,10.1140/epjc/s10052-015-3724-y
oai:repo.scoap3.org:24274,2019-08-01T09:43:36Z,DOI10.1140/epjc/s10052-018-5662-y,10.1140/epjc/s10052-018-5662-y
oai:repo.scoap3.org:12327,2019-08-01T09:56:44Z,DOI10.1140/epjc/s10052-015-3722-0,10.1140/epjc/s10052-015-3722-0
oai:repo.scoap3.org:12454,2019-08-01T09:42:17Z,DOI10.1140/epjc/s10052-015-3726-9,10.1140/epjc/s10052-015-3726-9
oai:repo.scoap3.org:22132,2019-08-01T09:56:23Z,DOI10.1140/epjc/s10052-017-5324-5,10.1140/epjc/s10052-017-5324-5
oai:repo.scoap3.org:22131,2019-08-01T09:56:44Z,DOI10.1140/epjc/s10052-017-5287-6,10.1140/epjc/s10052-017-5287-6
oai:repo.scoap3.org:1684,2019-08-01T09:56:29Z,DOI10.1140/epjc/s10052-014-2817-3,10.1140/epjc/s10052-014-2817-3
oai:repo.scoap3.org:9980,2019-08-01T09:41:17Z,DOI10.1140/epjc/s10052-015-3391-z,10.1140/epjc/s10052-015-3391-z
oai:repo.scoap3.org:9981,2019-08-01T09:54:52Z,DOI10.1140/epjc/s10052-015-3396-7,10.1140/epjc/s10052-015-3396-7
oai:repo.scoap3.org:13588,2019-08-01T09:52:44Z,DOI10.1140/epjc/s10052-016-3886-2,10.1140/epjc/s10052-016-3886-2
oai:repo.scoap3.org:13586,2019-08-01T09:35:34Z,DOI10.1140/epjc/s10052-016-3875-5,10.1140/epjc/s10052-016-3875-5
oai:repo.scoap3.org:13587,2019-08-01T09:57:04Z,DOI10.1140/epjc/s10052-016-3881-7,10.1140/epjc/s10052-016-3881-7
oai:repo.scoap3.org:13585,2019-08-01T09:58:42Z,DOI10.1140/epjc/s10052-015-3857-z,10.1140/epjc/s10052-015-3857-z
oai:repo.scoap3.org:1441,2019-08-01T09:58:03Z,DOI10.1140/epjc/s10052-014-2771-0,10.1140/epjc/s10052-014-2771-0
oai:repo.scoap3.org:17064,2019-08-01T09:38:08Z,DOI10.1140/epjc/s10052-016-4336-x,10.1140/epjc/s10052-016-4336-x
oai:repo.scoap3.org:18937,2019-08-01T09:39:53Z,DOI10.1140/epjc/s10052-017-4653-8,10.1140/epjc/s10052-017-4653-8
oai:repo.scoap3.org:13030,2019-08-01T09:56:00Z,DOI10.1140/epjc/s10052-015-3822-x,10.1140/epjc/s10052-015-3822-x
oai:repo.scoap3.org:12525,2019-08-01T09:56:18Z,DOI10.1140/epjc/s10052-015-3741-x,10.1140/epjc/s10052-015-3741-x
oai:repo.scoap3.org:24412,2019-08-01T09:44:48Z,DOI10.1140/epjc/s10052-018-5694-3,10.1140/epjc/s10052-018-5694-3
oai:repo.scoap3.org:24411,2019-08-01T09:38:10Z,DOI10.1140/epjc/s10052-018-5645-z,10.1140/epjc/s10052-018-5645-z
oai:repo.scoap3.org:20197,2019-08-01T09:41:31Z,DOI10.1140/epjc/s10052-017-4879-5,10.1140/epjc/s10052-017-4879-5
oai:repo.scoap3.org:4019,2019-08-01T09:37:24Z,DOI10.1140/epjc/s10052-014-3025-x,10.1140/epjc/s10052-014-3025-x
oai:repo.scoap3.org:13324,2019-08-01T09:56:23Z,DOI10.1140/epjc/s10052-015-3769-y,10.1140/epjc/s10052-015-3769-y
oai:repo.scoap3.org:19991,2019-08-01T09:40:21Z,DOI10.1140/epjc/s10052-017-4856-z,10.1140/epjc/s10052-017-4856-z
oai:repo.scoap3.org:21490,2019-08-01T09:56:46Z,DOI10.1140/epjc/s10052-017-5183-0,10.1140/epjc/s10052-017-5183-0
oai:repo.scoap3.org:17463,2019-08-01T09:39:24Z,DOI10.1140/epjc/s10052-016-4392-2,10.1140/epjc/s10052-016-4392-2
oai:repo.scoap3.org:17464,2019-08-01T09:40:48Z,DOI10.1140/epjc/s10052-016-4394-0,10.1140/epjc/s10052-016-4394-0
oai:repo.scoap3.org:17466,2019-08-01T09:35:46Z,DOI10.1140/epjc/s10052-016-4384-2,10.1140/epjc/s10052-016-4384-2
oai:repo.scoap3.org:4902,2019-08-01T09:48:33Z,DOI10.1140/epjc/s10052-014-3180-0,10.1140/epjc/s10052-014-3180-0
oai:repo.scoap3.org:19934,2019-08-01T09:56:54Z,DOI10.1140/epjc/s10052-017-4757-1,10.1140/epjc/s10052-017-4757-1
oai:repo.scoap3.org:15791,2019-08-01T09:44:30Z,DOI10.1140/epjc/s10052-016-4144-3,10.1140/epjc/s10052-016-4144-3
oai:repo.scoap3.org:8927,2019-08-01T09:57:50Z,DOI10.1140/epjc/s10052-015-3264-5,10.1140/epjc/s10052-015-3264-5
oai:repo.scoap3.org:22694,2019-08-01T09:42:11Z,DOI10.1140/epjc/s10052-017-5429-x,10.1140/epjc/s10052-017-5429-x
oai:repo.scoap3.org:4831,2019-08-01T09:42:13Z,DOI10.1140/epjc/s10052-014-3173-z,10.1140/epjc/s10052-014-3173-z
oai:repo.scoap3.org:4837,2019-08-01T09:42:13Z,DOI10.1140/epjc/s10052-014-3160-4,10.1140/epjc/s10052-014-3160-4
oai:repo.scoap3.org:4838,2019-08-01T09:57:04Z,DOI10.1140/epjc/s10052-014-3175-x,10.1140/epjc/s10052-014-3175-x
oai:repo.scoap3.org:4178,2019-08-01T09:42:00Z,DOI10.1140/epjc/s10052-014-3078-x,10.1140/epjc/s10052-014-3078-x
oai:repo.scoap3.org:15227,2019-08-01T09:42:31Z,DOI10.1140/epjc/s10052-016-4056-2,10.1140/epjc/s10052-016-4056-2
oai:repo.scoap3.org:3598,2019-08-01T09:38:49Z,DOI10.1140/epjc/s10052-014-2979-z,10.1140/epjc/s10052-014-2979-z
oai:repo.scoap3.org:4079,2019-08-01T09:57:25Z,DOI10.1140/epjc/s10052-014-3067-0,10.1140/epjc/s10052-014-3067-0
oai:repo.scoap3.org:21496,2019-08-01T09:42:01Z,DOI10.1140/epjc/s10052-017-5151-8,10.1140/epjc/s10052-017-5151-8
oai:repo.scoap3.org:15138,2019-08-01T09:52:07Z,DOI10.1140/epjc/s10052-016-4055-3,10.1140/epjc/s10052-016-4055-3
oai:repo.scoap3.org:15137,2019-08-01T09:58:44Z,DOI10.1140/epjc/s10052-016-4054-4,10.1140/epjc/s10052-016-4054-4
oai:repo.scoap3.org:10781,2019-08-01T09:42:20Z,DOI10.1140/epjc/s10052-015-3484-8,10.1140/epjc/s10052-015-3484-8
oai:repo.scoap3.org:10780,2019-08-01T09:48:38Z,DOI10.1140/epjc/s10052-015-3481-y,10.1140/epjc/s10052-015-3481-y
oai:repo.scoap3.org:23181,2019-08-14T12:33:14Z,DOI10.1140/epjc/s10052-018-5524-7,10.1140/epjc/s10052-018-5524-7
oai:repo.scoap3.org:11147,2019-08-01T09:46:17Z,DOI10.1140/epjc/s10052-015-3535-1,10.1140/epjc/s10052-015-3535-1
oai:repo.scoap3.org:11149,2019-08-01T09:41:35Z,DOI10.1140/epjc/s10052-015-3555-x,10.1140/epjc/s10052-015-3555-x
oai:repo.scoap3.org:19057,2019-08-01T09:38:10Z,DOI10.1140/epjc/s10052-017-4671-6,10.1140/epjc/s10052-017-4671-6
oai:repo.scoap3.org:3975,2019-08-01T09:40:57Z,DOI10.1140/epjc/s10052-014-3041-x,10.1140/epjc/s10052-014-3041-x
oai:repo.scoap3.org:3979,2019-08-01T09:47:13Z,DOI10.1140/epjc/s10052-014-3045-6,10.1140/epjc/s10052-014-3045-6
oai:repo.scoap3.org:19058,2019-08-01T09:58:58Z,DOI10.1140/epjc/s10052-017-4690-3,10.1140/epjc/s10052-017-4690-3
oai:repo.scoap3.org:21831,2019-08-01T09:45:37Z,DOI10.1140/epjc/s10052-017-5252-4,10.1140/epjc/s10052-017-5252-4
oai:repo.scoap3.org:23673,2019-08-01T09:58:40Z,DOI10.1140/epjc/s10052-018-5561-2,10.1140/epjc/s10052-018-5561-2
oai:repo.scoap3.org:12061,2019-08-01T09:52:11Z,DOI10.1140/epjc/s10052-015-3644-x,10.1140/epjc/s10052-015-3644-x
