identifier,datestamp,datafield,doi
oai:repo.scoap3.org:20677,2019-08-01T09:58:56Z,DOI10.1140/epjc/s10052-017-4991-6,10.1140/epjc/s10052-017-4991-6
oai:repo.scoap3.org:20623,2019-08-01T09:42:17Z,DOI10.1140/epjc/s10052-017-4990-7,10.1140/epjc/s10052-017-4990-7
oai:repo.scoap3.org:15491,2019-08-01T09:59:01Z,DOI10.1140/epjc/s10052-016-4100-2,10.1140/epjc/s10052-016-4100-2
oai:repo.scoap3.org:20629,2019-08-01T09:53:32Z,DOI10.1140/epjc/s10052-017-4988-1,10.1140/epjc/s10052-017-4988-1
oai:repo.scoap3.org:1290,2019-08-01T09:42:17Z,DOI10.1140/epjc/s10052-014-2724-7,10.1140/epjc/s10052-014-2724-7
oai:repo.scoap3.org:23250,2019-08-01T09:48:49Z,DOI10.1140/epjc/s10052-017-5509-y,10.1140/epjc/s10052-017-5509-y
oai:repo.scoap3.org:2672,2019-08-01T09:46:05Z,DOI10.1140/epjc/s10052-014-2883-6,10.1140/epjc/s10052-014-2883-6
oai:repo.scoap3.org:16607,2019-08-01T09:47:45Z,DOI10.1140/epjc/s10052-016-4276-5,10.1140/epjc/s10052-016-4276-5
oai:repo.scoap3.org:3297,2019-08-01T09:56:58Z,DOI10.1140/epjc/s10052-014-2962-8,10.1140/epjc/s10052-014-2962-8
oai:repo.scoap3.org:1119,2019-08-01T09:41:19Z,DOI10.1140/epjc/s10052-013-2702-5,10.1140/epjc/s10052-013-2702-5
oai:repo.scoap3.org:1117,2019-08-01T09:45:14Z,DOI10.1140/epjc/s10052-013-2684-3,10.1140/epjc/s10052-013-2684-3
oai:repo.scoap3.org:18604,2019-08-01T09:37:01Z,DOI10.1140/epjc/s10052-017-4598-y,10.1140/epjc/s10052-017-4598-y
oai:repo.scoap3.org:11739,2019-08-01T09:56:56Z,DOI10.1140/epjc/s10052-015-3641-0,10.1140/epjc/s10052-015-3641-0
oai:repo.scoap3.org:11735,2019-08-01T09:49:31Z,DOI10.1140/epjc/s10052-015-3627-y,10.1140/epjc/s10052-015-3627-y
oai:repo.scoap3.org:11730,2019-08-01T09:35:33Z,DOI10.1140/epjc/s10052-015-3577-4,10.1140/epjc/s10052-015-3577-4
