dois,license,journal_title,publisher,issued,issn_type.x,issn,year_flipped,issn_type.y
10.1186/s10397-017-1027-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1023-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1000-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-018-1040-x,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2018,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1013-5,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1019-z,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1026-0,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1004-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1006-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1008-2,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1007-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1001-9,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1010-8,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1012-6,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1014-4,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
10.1186/s10397-017-1015-3,http://creativecommons.org/licenses/by/4.0,Gynecological Surgery,Springer Nature,2017,issn_2,1613-2084,2017,issn
